act_id,qid,filename
57196,Q16941169,072 MS 65 F34 V.jpg
55127,Q4233718,10 Gebote (Lucas Cranach d A).jpg
55002,Q16006174,184 Württemberg und Mömpelgard Mömpelgarder Altar You know who.jpg
57977,Q18683955,1874 Monet Sommer anagoria.JPG
55507,Q11816717,1890 van Gogh First Steps - after Millet anagoria.JPG
56839,Q1490386,1907 Feddersen Heimkehr des verlorenen Sohnes anagoria.JPG
46240,Q21617100,Abel Grimmer 002.jpg
46218,Q348300,Adalpertus 001.jpg
55578,Q64800439,Adam Elsheimer - Glorification of the Cross - WGA7498.jpg
54949,Q17276233,Aert de Gelder - Het loflied van Simeon.jpg
46232,Q17334395,Aertgen van Leyden 001.jpg
58132,Q28949705,Albert Edelfelt - Sisäkuva Helsingin poikien työkodista (1885).jpg
46263,Q55854897,Albrecht Altdorfer - Kreuzigung Detail (Gemäldegalerie Alte Meister Kassel).jpg
46618,Q27978390,Albrecht Altdorfer 029.jpg
46246,Q25986,Albrecht Altdorfer 037.jpg
46241,Q25986,Albrecht Altdorfer 038.jpg
50205,Q3898508,Albrecht Dürer - The Fall of Man (Adam and Eve) - Google Art Project.jpg
46310,Q3947062,Albrecht Dürer 009.jpg
46319,Q3842750,Albrecht Dürer 010.jpg
46306,Q2598223,Albrecht Dürer 017.jpg
46327,Q16055586,Albrecht Dürer 025.jpg
46324,Q48447927,Albrecht Dürer 032.jpg
46269,Q3618168,Alesso Baldovinetti 003.jpg
54951,Q4233718,Andrea del Verrocchio 003.jpg
55008,Q17323503,Anonymous - Rich man and Lazarus ca. 1610.jpg
46074,Q3945928,Antonello da Messina 062.jpg
57969,Q3778388,"Arazzi di raffaello, cartone 05.1.jpg"
54955,Q27898358,"Backhuysen, Ludolf - Christ in the Storm on the Sea of Galilee - 1695.jpg"
46610,Q16627776,Bartolomé Esteban Perez Murillo - The Holy Family with a Bird - WGA16356.jpg
56395,Q20091450,Basaiti Call of the Sons of Zebedee.jpg
46411,Q12902420,Benozzo Gozzoli 004.jpg
46639,Q33246236,Beringarius 001.jpg
46608,Q27697334,Bernaerd van Orley 001FXD.jpg
46634,Q18572492,Bernardino Luini 001.jpg
46613,Q3907521,Bernardo Daddi 003.jpg
46589,Q5966403,Berthe Morisot 008.jpg
56475,Q23301547,Brandt Prayer in the steppe.jpg
54956,Q4233718,Brooklyn Museum - Christ Child with Passion Symbols - overall.jpg
57765,Q19858326,Brooklyn Museum - The Foolish Virgins (Les vierges folles) - James Tissot (cropped).jpg
57927,Q19858213,Brooklyn Museum - The Magnificat (Le magnificat) - James Tissot - overall .jpg
56404,Q18574350,Bruno Liljefors - Sea Eagles Nest.jpg
57395,Q19689027,Carel Fabritius - Hagar and the Angel - WGA07722.jpg
58108,Q18573952,Carl Wilhelmson - Church-Goers in a Boat - Google Art Project.jpg
46714,Q3842658,Carlo Crivelli 002.jpg
46786,Q3698183,Carlo Crivelli 003.jpg
46470,Q3907527,Carlo Crivelli 042.jpg
57229,Q20887918,Carlo Saraceni - The Martyrdom of St Cecilia - WGA20831.jpg
47249,Q16038721,Caspar David Friedrich - Evening - WGA08272.jpg
58408,Q18603171,Caspar David Friedrich - Frau auf der Treppe.jpg
55628,Q37979907,Cawen.jpg
46805,Q19014967,Charles-François Daubigny 002.jpg
58836,Q20537812,Christ and SocratesSAAM 1974.28.341A B 1.jpg
48068,Q18748474,Christ sur la mer de Galilée (Delacroix) Walters Art Museum 37.186.jpg
54920,Q3765122,Cima da Conegliano - David and Jonathan - WGA04912.jpg
46719,Q26503950,Claude Lorrain 020.jpg
58596,Q18683932,"Claude Monet, The Water Lily Pond, c. 1917-19, frame cropped, Google Art Project.jpg"
55840,Q19926297,"Collantes, Francisco - The Vision of Ezekiel - 1630.jpg"
50636,Q12878468,"Cormon, Fernand - Cain flying before Jehovah's Curse.jpg"
56086,Q17325393,Cornelis van Dalem (attr.) and Jan van Wechelen (attr.) - Church interior with Christ preaching to a crowd.jpg
46981,Q27980722,Cosmè Tura 004.jpg
46985,Q19911686,Cosmè Tura 034.jpg
54809,Q27980618,David Teniers de Jongere05.JPG
58709,Q29211491,"Delacroix - The Agony in the Garden, 1824-27.jpg"
55504,Q19911558,Delacroix Natchez.jpg
55647,Q19899766,Desolation Thomas Cole 1836.jpeg
46652,Q16025001,Diego Velázquez 009.jpg
49146,Q27518363,Dieric Bouts 004.jpg
54212,Q537192,Dieric il Vecchio Bouts Christ in the House of Simon.jpg
54995,Q4233718,Domenico Fetti 014.jpg
56723,Q3657389,"Domenico ghirlandaio, madonna della misericordia, ognissanti, Firenze.jpg"
49128,Q25444855,"Domenico Ghirlandaio, Visitation.jpg"
58757,Q26707719,Duccio di Buoninsegna - Transfiguration - WGA06780.jpg
49174,Q3873252,Duccio di Buoninsegna 058.jpg
49177,Q3873252,Duccio di Buoninsegna 062.jpg
49181,Q3873252,Duccio di Buoninsegna 065.jpg
49151,Q26706454,Duccio di Buoninsegna 069.jpg
49246,Q962603,Eccehomo workshop bosch.jpg
48090,Q28797683,Egon Schiele - Der Häuserbogen II (1915).jpg
48089,Q28780356,Egon Schiele 093.jpg
47300,Q58371583,Egon Schiele 094.jpg
48045,Q50984848,El Greco 013.jpg
48046,Q50984848,El Greco 014.jpg
48048,Q66310134,El Greco 017.jpg
48051,Q18684100,El Greco 021.jpg
48052,Q66362683,El Greco 024.jpg
48049,Q50900161,El Greco 027.jpg
48061,Q5824027,El Greco 055.jpg
48062,Q16620523,El Greco 057.jpg
56215,Q23940142,"El Greco, The Repentant Peter.JPG"
48063,Q17324424,Emanuel de Witte 001.jpg
58625,Q67120413,Ethiopian - John the Evangelist - Walters W850153V - Open Reverse.jpg
48071,Q3837491,"Eugène Delacroix, ""La Lutte de Jacob avec l'Ange"" (détail).jpg"
58693,Q26693126,"Eugène delacroix, cristo sulla croce, 1853.jpg"
48070,Q3837491,Eugène Ferdinand Victor Delacroix 061.jpg
49954,Q3736323,Ezekiel.jpg
56166,Q16536566,"Feast in the House of Simon, 1608-14 El Greco.jpg"
47418,Q11789741,Federico Barocci 002.jpg
56145,Q4233718,Filioque.JPG
47433,Q3831650,Filippino Lippi 002.jpg
46203,Q3947823,Filippino Lippi 003.jpg
47438,Q3933568,Filippino Lippi 011.jpg
46237,Q3605518,Fra Angelico 014.jpg
47766,Q3685116,Fra Angelico 022.jpg
55758,Q46159302,Franz Marc-In the Rain(Im Regen) (1912).jpg
55615,Q60475912,Frederick Leighton - David.jpg
47452,Q18686629,Friedrich Overbeck 002.jpg
49610,Q50104622,Friedrich Wilhelm Schadow 001.jpg
56747,Q29946112,Fritz v Uhde Schwerer Gang (1).jpg
56033,Q9396822,Geertgen tot Sint Jans - John the Baptist in the Wilderness - WGA08515.jpg
46680,Q3910907,Gentile da Fabriano 018.jpg
46679,Q3910907,Gentile da Fabriano 020.jpg
46629,Q107597258,Georges de La Tour 052.jpg
46654,Q18685738,Gerard David 003.jpg
58685,Q29952218,"Gerard dou, la preghiera della filatrice 2.JPG"
58765,Q17275761,Gerard Houckgeest 001.jpg
46662,Q46457423,Gerard van Honthorst 001.jpg
46663,Q87765748,Gerard van Honthorst 002.jpg
58745,Q29963303,"Gerrit Dou (Dutch, 1613–1675), Sleeping Dog, 1650. Oil on panel.jpg"
47443,Q3605531,Giorgione 010.jpg
46733,Q3944458,Giorgione 047.jpg
46737,Q3975688,Giotto di Bondone - No. 21 Scenes from the Life of Christ - 5. Massacre of the Innocents - .jpg
55190,Q21804550,"Giotto. Pentecost. 1320-25 National Gallery, London..jpg"
46616,Q78737630,Giovanni Battista Tiepolo 074.jpg
46556,Q19911510,Giovanni di Paolo 003.jpg
56403,Q20185213,"Giovanni di paolo, Creation and the Expulsion from the Paradise.jpg"
57740,Q21727688,Giovanni Paolo Pannini - Apostle Paul Preaching on the Ruins - WGA16977.jpg
46558,Q3698243,Giunta Pisano 001.jpg
58681,Q23054636,Grodzicki Praying Jew.jpg
50926,Q20539981,Guercino - Semiramis Receiving Word of the Revolt of Babylon - WGA10962.jpg
54756,Q21711646,Guercino Christ et la samaritaine.jpg
46553,Q18572299,Guido Reni 016.jpg
46551,Q19912813,Gustav Klimt 035.jpg
57921,Q4373521,Gustave Courbet - The Gust of Wind - Google Art Project.jpg
56405,Q10717397,Hanna Pauli - Friends - Google Art Project.jpg
57331,Q20178534,Hans Hoffmann (German - A Hare in the Forest - Google Art Project.jpg
58732,Q104525099,Hans Thoma 04.jpg
56670,Q20540603,"Harvesters Resting (Ruth and Boaz), Jean-François Millet.jpg"
57366,Q21778997,Head of Christ - Bijbels Museum Amsterdam.jpg
54983,Q27979117,Hieronymus Francken (II) - Parable of the Wise and Foolish Virgins - WGA08217.jpg
58702,Q19955927,Hours of Francis I MET DP269761.jpg
48729,Q27043840,Hubert van Eyck 010.jpg
49627,Q3605033,Hubert van Eyck 015.jpg
48730,Q3605033,Hubert van Eyck 016.jpg
49624,Q28056879,Hubert van Eyck 017.jpg
49621,Q28057385,Hubert van Eyck 036.jpg
48995,Q61744001,Iwan Iwanowitsch Schischkin 002.jpg
57628,Q54388714,Jacob Jordaens - Abraham Grapheus as Job.JPG
49587,Q18685407,Jacopo da Ponte 003.jpg
55029,Q18687908,Jacopo Tintoretto - Christ washing the Feet of the Disciples - Google Art Project.jpg
56062,Q2835885,Jacopo Tintoretto - The Birth of John the Baptist (detail) - WGA22442.jpg
49591,Q1525327,Jan Baegert 001.jpg
56613,Q75385084,Jawlensky Meditation Das Gebet 1290067.jpg
58750,Q21464145,Jonathan Pratt - The Studio of a Rustic Genius (1883).jpg
55198,Q64787156,King David - Sir Peter Paul Rubens.png
55039,Q69495819,Le Christ à Emmaüs by Strozzi - small.jpg
58074,Q21673523,Leon Lhermitte (Mont-saint-Pierre 1844-Parijs 1925) - De grootmoeder (detail).jpg
57600,Q4233718,Leopold Layer - Mana v puščavi.jpg
54757,Q27982447,Lorenzo Lippi 004.jpg
57973,Q64800296,Lucas Cranach d.Ä. - Gastmahl des Herodes (Städelsches Kunstinstitut).jpg
56629,Q64799859,"Lucas Cranach the Elder Christ blessing the Children, Frankfurt am Main, Städel Museum.jpg"
56110,Q17334308,Ludovico Mazzolino - Mozes en de tafelen der Wet.jpg
57748,Q21614185,Maerten de Vos - Render unto Caesar.jpg
56277,Q20891127,Magi tissot.jpg
55370,Q3083556,Marie-François Firmin-Girard - A Caridade.jpg
54816,Q49388915,Mariotto Albertinelli 003.jpg
56751,Q21589271,Martin Schongauer - Nativity - WGA21041.jpg
55874,Q18508514,Master of Isabella di Chiaromonte - Initial D with David in the Mire - Walters W32879R - Open Obverse.jpg
54716,Q18516732,Master of the Good Samaritan 001.jpg
55513,Q20173510,Master Of The Osservanza - St Anthony Distributing his Wealth to the Poor - WGA14603.jpg
56399,Q23690339,Maurycy Gottlieb - Christ preaching at Capernaum - Google Art Project.jpg
56661,Q1918363,MCC-41326 Genezing van de blinde te Jericho (1).tif
51106,Q69520245,Meister des Mausoleums der Galla Placidia in Ravenna 002.jpg
57582,Q25909332,"Munkácsy, Mihály - Condemned Cell I - Google Art Project.jpg"
58148,Q25263511,Nesterov A nun.jpg
58126,Q38228978,Nicolaes Maes - Old woman praying.jpg
54182,Q26251916,Nicolas Poussin 043.jpg
57410,Q19820166,Nicolas Poussin 073.jpg
58444,Q18516813,Noah's Ark on Mount Ararat by Simon de Myle.jpg
55593,Q24950849,Norman Rockwell - Boy with Baby Carriage - Google Art Project.jpg
55823,Q21600873,Ołtarz Hamburski 02.jpg
58038,Q19924542,"On to Liberty by Theodor Kaufmann, 1867, Metropolitan Museum of Art.JPG"
55622,Q29838774,Orazio Gentileschi - Two Women with a Mirror - WGA8573.jpg
54804,Q11796540,Orrente-isaac.jpg
56988,Q18573061,P1080763 Louvre Stefano di Giovanni Bienheureux Ranieri RF1965-2 rwk.JPG
55389,Q18939074,Pandemonium.jpg
56786,Q29563416,Paolo Veronese - Marriage at Cana (detail) - WGA24874.jpg
57281,Q4233718,Paris psaulter gr139 fol1v.jpg
55645,Q20854809,Parreiras-ventania-pinac.jpg
58086,Q19563350,Peter Paul Rubens - Four Studies of the Head of a Negro - WGA20382.jpg
57273,Q20396156,Peter Paul Rubens - The Judgement of Solomon - Google Art Project.jpg
55262,Q27955591,Peter Paul Rubens 018.jpg
58743,Q20020128,Pieter de Hooch - Woman nursing by a cradle with a dog at her feet.jpg
56294,Q46121235,Polyptych of John the Merciful 01.jpg
51125,Q20630409,Ravine - Vincent van Gogh.jpg
54708,Q21401840,Rembrandt Harmensz. van Rijn 024.jpg
57189,Q21530716,Rembrandt Harmensz. van Rijn 085b.jpg
58705,Q11827829,Rembrandt prophet hannah.jpg
51118,Q20557629,Rembrandt-Elison.png
57228,Q16622054,"Rembrandt, ""St. Paul in Prison"".jpg"
56892,Q3947812,Resurrezioneditabita.jpg
51133,Q20777947,"Rimmer, William - Flight and Pursuit - 1872.jpg"
55196,Q11742261,Rossetti wiese.jpg
50306,Q17436696,Rouen Cathedral Façade and Tour d'Albane (Morning Effect) SC197957.jpg
56659,Q4233718,Roundel with Christ Healing the Blind Man MET DP250442.jpg
58683,Q23940477,Saint Peter Repentant by Goya.jpg
56024,Q27750061,The Triumphant Christ.jpg
55620,Q66107738,Théodule-Augustin Ribot - The Good Samaritan - WGA19393.jpg
53079,Q19900023,Thomas Cole - A View of the Mountain Pass Called the Notch of the White Mountains.jpg
56947,Q19900690,Thomas Cole The Garden of Eden Amon Carter Museum.jpg
55459,Q27698396,Titian - Christ Carrying the Cross - WGA22841.jpg
57623,Q22812711,Traversi Job mocked by his wife 02.jpg
57797,Q24020423,Van Gogh - Sämann bei untergehender Sonne.jpeg
58851,Q690637,Van Gogh - Stillleben mit Bibel.jpeg
56186,Q19835788,Van Gogh - Stillleben mit fünf Vogelnestern.jpeg
56501,Q20890801,Vincent van Gogh - Olive Trees - Google Art Project (Minneapolis Institute of Arts).jpg
58828,Q19833820,Vincent van Gogh - The cottage - Google Art Project.jpg
56653,Q19836209,Vincent van Gogh - The sheep-shearer (after Millet) - Google Art Project.jpg
58327,Q19833771,Vincent van Gogh - The sower - Google Art Project.jpg
55980,Q26221221,Vineyards with a View of Auvers 1890 Vincent van Gogh.jpg
50249,Q20776718,Washington Allston 001.jpg
54952,Q1087240,WP Kemmer - Jesus und die Ehebrecherin.jpg
55502,Q18547075,Zorn - Our Daily Bread.jpg
56999,Q699552,Praying Hands - Albrecht Durer.png
