string,material,material1,material2,medium,surface
"Ink & color on silk, with wooden covers","['', '', 'Ink & color', 'silk, with wooden covers']",,,Ink & color,"silk, with wooden covers"
"Ink & slight color on paper, bamboo ribs","['', '', 'Ink & slight color', 'paper, bamboo ribs']",,,Ink & slight color,"paper, bamboo ribs"
Ink and Pencil,"['Ink', 'Pencil', '', '']",Ink,Pencil,,
Ink and acrylic on paper,"['', '', 'Ink and acrylic', 'paper']",,,Ink and acrylic,paper
Ink and color on arch-shaped vellum,"['', '', 'Ink and color', 'arch-shaped vellum']",,,Ink and color,arch-shaped vellum
Ink and color on gold leaf,"['', '', 'Ink and color', 'gold leaf']",,,Ink and color,gold leaf
Ink and color on paper,"['', '', 'Ink and color', 'paper']",,,Ink and color,paper
"Ink and color on paper, bamboo ribs","['', '', 'Ink and color', 'paper, bamboo ribs']",,,Ink and color,"paper, bamboo ribs"
"Ink and color on paper, book","['', '', 'Ink and color', 'paper, book']",,,Ink and color,"paper, book"
"Ink and color on paper, with bamboo inner ribs, outer ribs of ivory with gold lacquer","['', '', 'Ink and color', 'paper, with bamboo inner ribs, outer ribs of ivory with gold lacquer']",,,Ink and color,"paper, with bamboo inner ribs, outer ribs of ivory with gold lacquer"
Ink and color on silk,"['', '', 'Ink and color', 'silk']",,,Ink and color,silk
Ink and color on vellum,"['', '', 'Ink and color', 'vellum']",,,Ink and color,vellum
Ink and gold on paper,"['', '', 'Ink and gold', 'paper']",,,Ink and gold,paper
Ink and graphite on paper,"['', '', 'Ink and graphite', 'paper']",,,Ink and graphite,paper
Ink and paper on paper,"['', '', 'Ink and paper', 'paper']",,,Ink and paper,paper
Ink and slight color on paper,"['', '', 'Ink and slight color', 'paper']",,,Ink and slight color,paper
Ink and slight color on silk,"['', '', 'Ink and slight color', 'silk']",,,Ink and slight color,silk
Ink and wash on paper,"['', '', 'Ink and wash', 'paper']",,,Ink and wash,paper
"Ink and wash, heightened with white on paper","['', '', 'Ink and wash, heightened with white', 'paper']",,,"Ink and wash, heightened with white",paper
"Ink on Japanese paper, stencil print","['', '', 'Ink', 'Japanese paper, stencil print']",,,Ink,"Japanese paper, stencil print"
Ink on mica paper,"['', '', 'Ink', 'mica paper']",,,Ink,mica paper
Ink on paper,"['', '', 'Ink', 'paper']",,,Ink,paper
Ink on paper hanging scroll,"['', '', 'Ink', 'paper hanging scroll']",,,Ink,paper hanging scroll
Ink on paper laid down on silk,"['', '', 'Ink', 'paper laid down']",,,Ink,paper laid down
Ink on paper mounted on cardboard,"['', '', 'Ink', 'paper mounted']",,,Ink,paper mounted
Ink on silk,"['', '', 'Ink', 'silk']",,,Ink,silk
Ink rubbing,"['', '', '', '']",,,,
Ink wash on paper,"['', '', 'Ink wash', 'paper']",,,Ink wash,paper
"Ink, compressed with gold and silver","['Ink, compressed with gold', 'silver', '', '']","Ink, compressed with gold",silver,,
"Ink, compressed with gold, silver, and colored pigment","['Ink, compressed with gold, silver,', 'colored pigment', '', '']","Ink, compressed with gold, silver,",colored pigment,,
"Ink, gold paint, and colored pencil on wove paper","['', '', 'Ink, gold paint, and colored pencil', 'wove paper']",,,"Ink, gold paint, and colored pencil",wove paper
Intaglio,"['Intaglio', '', '', '']",Intaglio,,,
Intaglio and collograph in color from a paperboard matrix,"['Intaglio', 'collograph in color from a paperboard matrix', '', '']",Intaglio,collograph in color from a paperboard matrix,,
Intaglio and relief print,"['Intaglio', 'relief print', '', '']",Intaglio,relief print,,
Intaglio and woodcut on chine collé,"['', '', 'Intaglio and woodcut', 'chine collé']",,,Intaglio and woodcut,chine collé
Intaglio with photogravure,"['', '', '', '']",,,,
"Intaglio, hand painted shellac","['', '', '', '']",,,,
Iron,"['Iron', '', '', '']",Iron,,,
Iron or bronze with semi-precious stones,"['', '', '', '']",,,,
Ivory,"['Ivory', '', '', '']",Ivory,,,
Jade,"['Jade', '', '', '']",Jade,,,
Jade with gilt,"['', '', '', '']",,,,
Jadeite,"['Jadeite', '', '', '']",Jadeite,,,
Kurume-gasuri indigo-dyed cloth,"['', '', '', '']",,,,
Lacquer,"['Lacquer', '', '', '']",Lacquer,,,
Lacquer and metal,"['Lacquer', 'metal', '', '']",Lacquer,metal,,
Lacquer on wood and inlaid mother of pearl and stone in ivory,"['', '', 'Lacquer', 'wood and inlaid mother of pearl and stone in ivory']",,,Lacquer,wood and inlaid mother of pearl and stone in ivory
Lacquer with gold and silver,"['Lacquer with gold', 'silver', '', '']",Lacquer with gold,silver,,
Lacquered and gilt wood,"['Lacquered', 'gilt wood', '', '']",Lacquered,gilt wood,,
Lacquered wood,"['', '', '', '']",,,,
"Lacquered wood, ivory","['', '', '', '']",,,,
"Lacquered wood, ivory, bone","['', '', '', '']",,,,
Laminated poplar,"['', '', '', '']",,,,
Lead,"['Lead', '', '', '']",Lead,,,
Leather Bound Manuscript Pages,"['', '', '', '']",,,,
Leather relief,"['', '', '', '']",,,,
"Leather, cloth, bronze, carved wood","['', '', '', '']",,,,
Letterpress print,"['', '', '', '']",,,,
"Letterpress print (French's Kraftone paper, Superior oil-based inks, historic wood and metal type…","[""Letterpress print (French's Kraftone paper, Superior oil-based inks, historic wood"", 'metal type…', '', '']","Letterpress print (French's Kraftone paper, Superior oil-based inks, historic wood",metal type…,,
"Letterpress print (Goudy Sans Serif metal type, hand-drawn images from Camarasaurus…","['', '', '', '']",,,,
"Letterpress print (Letterpress printed wood type, photopolymer, Caslon Old Style Metal Type...","['', '', '', '']",,,,
"Letterpress print (hand-set Bulmer types, linotype borders, photopolymer plate...","['', '', '', '']",,,,
Letterpress print (handset metal type and vintage copper relief block),"['Letterpress print (handset metal type', 'vintage copper relief block)', '', '']",Letterpress print (handset metal type,vintage copper relief block),,
"Letterpress print (handset wood and metal type, vintage catchwords and copper engraving…","['Letterpress print (handset wood', 'metal type, vintage catchwords', '', '']",Letterpress print (handset wood,"metal type, vintage catchwords",,
"Letterpress print (linoleum, metal type, Mohawk Superfine paper, rubber-based inks...","['', '', '', '']",,,,
"Letterpress print (metal type, Spartan heavy, Bulmer, rubber-based ink...","['', '', '', '']",,,,
"Letterpress print (on Strathmore sketchbook paper, wood and metal type, linoleum cut, three colors)","['Letterpress print (on Strathmore sketchbook paper, wood', 'metal type, linoleum cut, three colors)', '', '']","Letterpress print (on Strathmore sketchbook paper, wood","metal type, linoleum cut, three colors)",,
"Letterpress print (on printmaking paper, wood and metal type, oil-based inks)","['Letterpress print (on printmaking paper, wood', 'metal type, oil-based inks)', '', '']","Letterpress print (on printmaking paper, wood","metal type, oil-based inks)",,
"Letterpress print (printed at Hatch Show Print on a Vandercook SP-15, wood type, metal type…","['', '', 'Letterpress print (printed at Hatch Show Print', 'a Vandercook SP-15, wood type, metal type…']",,,Letterpress print (printed at Hatch Show Print,"a Vandercook SP-15, wood type, metal type…"
"Letterpress print (printed on a Nolan proof press, rubber-based ink, 80 pound cover Dur-o-tone…","['', '', 'Letterpress print (printed', 'a Nolan proof press, rubber-based ink, 80 pound cover Dur-o-tone…']",,,Letterpress print (printed,"a Nolan proof press, rubber-based ink, 80 pound cover Dur-o-tone…"
"Letterpress print (using a Vandercook SP-15, polymer plates, Crane Lettra 90 lb flourescent...","['', '', '', '']",,,,
Letterpress print (wood type with overprinting),"['', '', '', '']",,,,
"Letterpress print (wood type, reduction linoleum relief print, oil-based ink, Domtar Cougar paper...","['', '', '', '']",,,,
Letterpress print on Cougar Digital paper,"['', '', 'Letterpress print', 'Cougar Digital paper']",,,Letterpress print,Cougar Digital paper
Letterpress print with handset type,"['', '', '', '']",,,,
Limestone,"['Limestone', '', '', '']",Limestone,,,
Limestone relief with polychrome,"['', '', '', '']",,,,
Limestone with polychrome,"['', '', '', '']",,,,
Limestone with traces of polychrome,"['', '', '', '']",,,,
Line etching and burnisher on wove paper,"['', '', 'Line etching and burnisher', 'wove paper']",,,Line etching and burnisher,wove paper
Line etching with burnisher on wove paper,"['', '', 'Line etching with burnisher', 'wove paper']",,,Line etching with burnisher,wove paper
Linocut,"['Linocut', '', '', '']",Linocut,,,
Linocut and letterpress,"['Linocut', 'letterpress', '', '']",Linocut,letterpress,,
Linocut and letterpress with spray paint,"['Linocut', 'letterpress with spray paint', '', '']",Linocut,letterpress with spray paint,,
Linoleum block print,"['', '', '', '']",,,,
"Linoleum block print on French Mills paper, printed on Vandercook 219, oil-based VanSon inks","['', '', 'Linoleum block print', 'French Mills paper, printed']",,,Linoleum block print,"French Mills paper, printed"
Linoleum block print with watercolor,"['', '', '', '']",,,,
Linoleum cut and letterpress print,"['Linoleum cut', 'letterpress print', '', '']",Linoleum cut,letterpress print,,
Lion bone,"['', '', '', '']",,,,
Lithograph,"['Lithograph', '', '', '']",Lithograph,,,
Lithograph (on Arches paper),"['', '', '', '']",,,,
"Lithograph and intaglio on Mulberry paper, hand sewn onto Arches Buff","['', '', 'Lithograph and intaglio', 'Mulberry paper, hand sewn onto Arches Buff']",,,Lithograph and intaglio,"Mulberry paper, hand sewn onto Arches Buff"
"Lithograph and letterpress on paper, thread","['', '', 'Lithograph and letterpress', 'paper, thread']",,,Lithograph and letterpress,"paper, thread"
Lithograph and paper clips,"['Lithograph', 'paper clips', '', '']",Lithograph,paper clips,,
Lithograph on Japanese paper,"['', '', 'Lithograph', 'Japanese paper']",,,Lithograph,Japanese paper
Lithograph on cast paper,"['', '', 'Lithograph', 'cast paper']",,,Lithograph,cast paper
Lithograph on chine collé,"['', '', 'Lithograph', 'chine collé']",,,Lithograph,chine collé
Lithograph on laid paper,"['', '', 'Lithograph', 'laid paper']",,,Lithograph,laid paper
Lithograph on wove paper,"['', '', 'Lithograph', 'wove paper']",,,Lithograph,wove paper
Lithograph on wove paper mounted on illustration board,"['', '', 'Lithograph', 'wove paper mounted']",,,Lithograph,wove paper mounted
Lithograph reproduction of an engraving,"['', '', '', '']",,,,
Lithograph with hand color,"['', '', '', '']",,,,
Lithographs,"['Lithographs', '', '', '']",Lithographs,,,
Lithographs and printing,"['Lithographs', 'printing', '', '']",Lithographs,printing,,
"Macrame hemp string, resin (face), beaten bark (skirt), and other organic materials","['Macrame hemp string, resin (face), beaten bark (skirt),', 'other organic materials', '', '']","Macrame hemp string, resin (face), beaten bark (skirt),",other organic materials,,
Marble,"['Marble', '', '', '']",Marble,,,
Marble with traces of color and gilding,"['Marble with traces of color', 'gilding', '', '']",Marble with traces of color,gilding,,
Metal,"['Metal', '', '', '']",Metal,,,
Metal base,"['', '', '', '']",,,,
Metallic glazed porcelain,"['', '', '', '']",,,,
Mezzotint,"['Mezzotint', '', '', '']",Mezzotint,,,
Mezzotint etching,"['', '', '', '']",,,,
Mezzotint on wove paper,"['', '', 'Mezzotint', 'wove paper']",,,Mezzotint,wove paper
Mezzotint with etching,"['', '', '', '']",,,,
Mineral color on gold leaf,"['', '', 'Mineral color', 'gold leaf']",,,Mineral color,gold leaf
Mixed media,"['', '', '', '']",,,,
Mixed media on canvas,"['', '', 'Mixed media', 'canvas']",,,Mixed media,canvas
Mixed media on canvas and wood,"['', '', 'Mixed media', 'canvas and wood']",,,Mixed media,canvas and wood
Mixed media on handmade paper,"['', '', 'Mixed media', 'handmade paper']",,,Mixed media,handmade paper
Mixed media on masonite,"['', '', 'Mixed media', 'masonite']",,,Mixed media,masonite
Mixed media on panel,"['', '', 'Mixed media', 'panel']",,,Mixed media,panel
Mixed media on paper,"['', '', 'Mixed media', 'paper']",,,Mixed media,paper
Mixed media on paper with collage,"['', '', 'Mixed media', 'paper with collage']",,,Mixed media,paper with collage
Monotype,"['Monotype', '', '', '']",Monotype,,,
Muttonfat nephrite jade,"['', '', '', '']",,,,
"Natural fiber, cowrie shell, boar tusks","['', '', '', '']",,,,
Natural fibers and pierced nassa shells,"['Natural fibers', 'pierced nassa shells', '', '']",Natural fibers,pierced nassa shells,,
Oak,"['Oak', '', '', '']",Oak,,,
Oak panel,"['', '', '', '']",,,,
Offset Lithograph,"['', '', '', '']",,,,
Offset lithograph,"['', '', '', '']",,,,
Offset lithograph (reproduction),"['', '', '', '']",,,,
Offset lithograph based on an etching or drawing.,"['', '', 'Offset lithograph based', 'an etching or drawing.']",,,Offset lithograph based,an etching or drawing.
Offset lithograph mounted on foam core,"['', '', 'Offset lithograph mounted', 'foam core']",,,Offset lithograph mounted,foam core
Offset lithograph with hand coloring,"['', '', '', '']",,,,
"Offset lithograph, book","['', '', '', '']",,,,
Offset lithographs,"['', '', '', '']",,,,
"Offset lithographs on card stock; poem, in French and English, on paper and mylar","['', '', 'Offset lithographs', 'card stock; poem, in French and English,']",,,Offset lithographs,"card stock; poem, in French and English,"
Offset photolithograph,"['', '', '', '']",,,,
Oil,"['Oil', '', '', '']",Oil,,,
Oil and acrylic on masonite,"['', '', 'Oil and acrylic', 'masonite']",,,Oil and acrylic,masonite
Oil and charcoal on gesso panel,"['', '', 'Oil and charcoal', 'gesso panel']",,,Oil and charcoal,gesso panel
Oil and collage on plywood,"['', '', 'Oil and collage', 'plywood']",,,Oil and collage,plywood
Oil and collage on plywood panel,"['', '', 'Oil and collage', 'plywood panel']",,,Oil and collage,plywood panel
Oil and enamel on canvas,"['', '', 'Oil and enamel', 'canvas']",,,Oil and enamel,canvas
Oil and graphite on board,"['', '', 'Oil and graphite', 'board']",,,Oil and graphite,board
Oil and mixed media on canvas,"['', '', 'Oil and mixed media', 'canvas']",,,Oil and mixed media,canvas
Oil on board,"['', '', 'Oil', 'board']",,,Oil,board
Oil on canvas,"['', '', 'Oil', 'canvas']",,,Oil,canvas
Oil on canvas laid on honeycomb panel,"['', '', 'Oil', 'canvas laid']",,,Oil,canvas laid
Oil on canvas mounted on composition board,"['', '', 'Oil', 'canvas mounted']",,,Oil,canvas mounted
Oil on canvas mounted on wood panel,"['', '', 'Oil', 'canvas mounted']",,,Oil,canvas mounted
"Oil on canvas, in carved frame","['', '', 'Oil', 'canvas, in carved frame']",,,Oil,"canvas, in carved frame"
Oil on composition board,"['', '', 'Oil', 'composition board']",,,Oil,composition board
Oil on copper,"['', '', 'Oil', 'copper']",,,Oil,copper
Oil on linen,"['', '', 'Oil', 'linen']",,,Oil,linen
Oil on masonite,"['', '', 'Oil', 'masonite']",,,Oil,masonite
Oil on oak board,"['', '', 'Oil', 'oak board']",,,Oil,oak board
Oil on panel,"['', '', 'Oil', 'panel']",,,Oil,panel
Oil on paper,"['', '', 'Oil', 'paper']",,,Oil,paper
Oil on paper mounted on canvas,"['', '', 'Oil', 'paper mounted']",,,Oil,paper mounted
Oil on paper on canvas,"['', '', 'Oil', 'paper']",,,Oil,paper
Oil on wood,"['', '', 'Oil', 'wood']",,,Oil,wood
Oil on wood panel,"['', '', 'Oil', 'wood panel']",,,Oil,wood panel
Oil pastel on paper,"['', '', 'Oil pastel', 'paper']",,,Oil pastel,paper
"Oil pastel, oil paint, graphite and colored pencil on Fabriano paper","['', '', 'Oil pastel, oil paint, graphite and colored pencil', 'Fabriano paper']",,,"Oil pastel, oil paint, graphite and colored pencil",Fabriano paper
Oil stain on canvas,"['', '', 'Oil stain', 'canvas']",,,Oil stain,canvas
Onyx (multi-toned brown),"['', '', '', '']",,,,
Painted clay,"['', '', '', '']",,,,
Painted plaster,"['', '', '', '']",,,,
Painted steel,"['', '', '', '']",,,,
Painting,"['Painting', '', '', '']",Painting,,,
Painting and collage,"['Painting', 'collage', '', '']",Painting,collage,,
Painting on silk,"['', '', 'Painting', 'silk']",,,Painting,silk
Palm fiber,"['', '', '', '']",,,,
Paper collage,"['', '', '', '']",,,,
Pastel on paper,"['', '', 'Pastel', 'paper']",,,Pastel,paper
Pastel on paper and plywood,"['', '', 'Pastel', 'paper and plywood']",,,Pastel,paper and plywood
Pen and Ink,"['Pen', 'Ink', '', '']",Pen,Ink,,
Pen and brown ink drawing on paper,"['', '', 'Pen and brown ink drawing', 'paper']",,,Pen and brown ink drawing,paper
Pen and ink,"['Pen', 'ink', '', '']",Pen,ink,,
Pen and ink and grey wash,"['Pen', 'ink', '', '']",Pen,ink,,
Pen and ink heightened with white on paper,"['', '', 'Pen and ink heightened with white', 'paper']",,,Pen and ink heightened with white,paper
Pen and ink on laid paper,"['', '', 'Pen and ink', 'laid paper']",,,Pen and ink,laid paper
Pen and ink on paper,"['', '', 'Pen and ink', 'paper']",,,Pen and ink,paper
Pen and ink on plastic shading sheets,"['', '', 'Pen and ink', 'plastic shading sheets']",,,Pen and ink,plastic shading sheets
Pen and ink on wove paper,"['', '', 'Pen and ink', 'wove paper']",,,Pen and ink,wove paper
Pen and ink wash on paper,"['', '', 'Pen and ink wash', 'paper']",,,Pen and ink wash,paper
Pen and ink with brown wash on paper,"['', '', 'Pen and ink with brown wash', 'paper']",,,Pen and ink with brown wash,paper
Pen and ink with gray wash on paper,"['', '', 'Pen and ink with gray wash', 'paper']",,,Pen and ink with gray wash,paper
Pen and ink with wash and gouache on paper,"['', '', 'Pen and ink with wash and gouache', 'paper']",,,Pen and ink with wash and gouache,paper
Pen and ink with wash on paper,"['', '', 'Pen and ink with wash', 'paper']",,,Pen and ink with wash,paper
Pen and ink with watercolor on paper,"['', '', 'Pen and ink with watercolor', 'paper']",,,Pen and ink with watercolor,paper
Pen and sepia ink on paper,"['', '', 'Pen and sepia ink', 'paper']",,,Pen and sepia ink,paper
Pen and tempera on paper,"['', '', 'Pen and tempera', 'paper']",,,Pen and tempera,paper
"Pen, brush and ink","['Pen, brush', 'ink', '', '']","Pen, brush",ink,,
"Pen, brush, ink, heightened with color, on paper","['', '', 'Pen, brush, ink, heightened with color,', 'paper']",,,"Pen, brush, ink, heightened with color,",paper
"Pen, crayon and wash on paper","['', '', 'Pen, crayon and wash', 'paper']",,,"Pen, crayon and wash",paper
"Pen, ink, and pencil on paper","['', '', 'Pen, ink, and pencil', 'paper']",,,"Pen, ink, and pencil",paper
"Pen, ink, and watercolor on paper","['', '', 'Pen, ink, and watercolor', 'paper']",,,"Pen, ink, and watercolor",paper
Pencil and sanguine wash on paper,"['', '', 'Pencil and sanguine wash', 'paper']",,,Pencil and sanguine wash,paper
Pencil on paper,"['', '', 'Pencil', 'paper']",,,Pencil,paper
Pewter and brass,"['Pewter', 'brass', '', '']",Pewter,brass,,
Photo lithograph,"['', '', '', '']",,,,
Photo lithograph and recording,"['Photo lithograph', 'recording', '', '']",Photo lithograph,recording,,
Photo-derived etching,"['', '', '', '']",,,,
"Photo-derived woodcut on Korean mulberry paper, laminated verso, with five sheets of the same","['', '', 'Photo-derived woodcut', 'Korean mulberry paper, laminated verso, with five sheets of the same']",,,Photo-derived woodcut,"Korean mulberry paper, laminated verso, with five sheets of the same"
Photoengraving,"['Photoengraving', '', '', '']",Photoengraving,,,
Photograph,"['Photograph', '', '', '']",Photograph,,,
Photographic reproduction,"['', '', '', '']",,,,
Photogravure,"['Photogravure', '', '', '']",Photogravure,,,
Photolithograph,"['Photolithograph', '', '', '']",Photolithograph,,,
Photolithograph or Transfer Print,"['', '', '', '']",,,,
Pigment on fiber paper,"['', '', 'Pigment', 'fiber paper']",,,Pigment,fiber paper
Pigment print on fiber paper,"['', '', 'Pigment print', 'fiber paper']",,,Pigment print,fiber paper
Pigment print on inkjet paper,"['', '', 'Pigment print', 'inkjet paper']",,,Pigment print,inkjet paper
Pigments and casein on linen,"['', '', 'Pigments and casein', 'linen']",,,Pigments and casein,linen
Pigments and casein on linen mounted on board,"['', '', 'Pigments and casein', 'linen mounted']",,,Pigments and casein,linen mounted
Pigments and casien on linen,"['', '', 'Pigments and casien', 'linen']",,,Pigments and casien,linen
Plaster,"['Plaster', '', '', '']",Plaster,,,
Plaster with paint,"['', '', '', '']",,,,
Pocelain with sang de beouf glaze,"['', '', '', '']",,,,
Polaroid,"['Polaroid', '', '', '']",Polaroid,,,
Polychrome on wood (walnut),"['', '', 'Polychrome', 'wood (walnut)']",,,Polychrome,wood (walnut)
"Polychrome, terracotta","['', '', '', '']",,,,
Polychromed wood,"['', '', '', '']",,,,
Polychromed wood with raffia skirt remnant,"['', '', '', '']",,,,
Polymer,"['Polymer', '', '', '']",Polymer,,,
Polymer and collage on canvas,"['', '', 'Polymer and collage', 'canvas']",,,Polymer and collage,canvas
Polymer and tempera on panel,"['', '', 'Polymer and tempera', 'panel']",,,Polymer and tempera,panel
Polymer on canvas,"['', '', 'Polymer', 'canvas']",,,Polymer,canvas
Porcelain,"['Porcelain', '', '', '']",Porcelain,,,
Porcelain with celadon glaze and overglaze enamels,"['Porcelain with celadon glaze', 'overglaze enamels', '', '']",Porcelain with celadon glaze,overglaze enamels,,
Porcelain with color and gold enamel glazes,"['Porcelain with color', 'gold enamel glazes', '', '']",Porcelain with color,gold enamel glazes,,
Porcelain with five-color enameled glaze,"['', '', '', '']",,,,
Porcelain with ge-yao type glaze,"['', '', '', '']",,,,
Porcelain with glaze,"['', '', '', '']",,,,
Porcelain with gold and enamel glazes,"['Porcelain with gold', 'enamel glazes', '', '']",Porcelain with gold,enamel glazes,,
Porcelain with ormolu decoration,"['', '', '', '']",,,,
Porcelain with over glaze enamels,"['', '', '', '']",,,,
Porcelain with overglaze enamels,"['', '', '', '']",,,,
Porcelain with sang de boeuf glaze,"['', '', '', '']",,,,
Porcelain with tomato red coloration,"['', '', '', '']",,,,
Porcelain with underglaze,"['', '', '', '']",,,,
Print,"['Print', '', '', '']",Print,,,
Punchong stoneware with celadon glaze,"['', '', '', '']",,,,
Rattan,"['Rattan', '', '', '']",Rattan,,,
Record album,"['', '', '', '']",,,,
Red chalk on laid paper,"['', '', 'Red chalk', 'laid paper']",,,Red chalk,laid paper
Red crayon on wove paper,"['', '', 'Red crayon', 'wove paper']",,,Red crayon,wove paper
Reduction collagraph and lead type on chipboard (printed on Vandercook 219…,"['', '', 'Reduction collagraph and lead type', 'chipboard (printed']",,,Reduction collagraph and lead type,chipboard (printed
Relief print,"['', '', '', '']",,,,
Repeated collage intaglio prints,"['', '', '', '']",,,,
Reproduction,"['Reproduction', '', '', '']",Reproduction,,,
Resist dye on cotton or linen fabric mounted on paper,"['', '', 'Resist dye', 'cotton or linen fabric mounted']",,,Resist dye,cotton or linen fabric mounted
Rhinoceros horn,"['', '', '', '']",,,,
Rice paper,"['', '', '', '']",,,,
Sandstone,"['Sandstone', '', '', '']",Sandstone,,,
Sanguine drawing on paper,"['', '', 'Sanguine drawing', 'paper']",,,Sanguine drawing,paper
Satsuma ware porcelain with color and gold enamel glazes,"['Satsuma ware porcelain with color', 'gold enamel glazes', '', '']",Satsuma ware porcelain with color,gold enamel glazes,,
Sawankhalok stoneware with a crackle glaze,"['', '', '', '']",,,,
Screen print,"['', '', '', '']",,,,
Screen print (on Arches paper),"['', '', '', '']",,,,
Screen print and gold foil,"['Screen print', 'gold foil', '', '']",Screen print,gold foil,,
Screen print and photo collage,"['Screen print', 'photo collage', '', '']",Screen print,photo collage,,
Screen print and silver foil,"['Screen print', 'silver foil', '', '']",Screen print,silver foil,,
Screen print on Japanese paper,"['', '', 'Screen print', 'Japanese paper']",,,Screen print,Japanese paper
